58362.00034722;;;;;
58362.00104167;;;;;
58362.00173611;;;;;
58362.00243056;;;;;
58362.00312500;;;;;
58362.00381944;;;;;
58362.00451389;;;;;
58362.00520833;;;;;
58362.00590278;;;;;
58362.00659722;;;;;
58362.00729167;;;;;
58362.00798611;;;;;
58362.00868056;;;;;
58362.00937500;;;;;
58362.01006944;;;;;
58362.01076389;;;;;
58362.01145833;;;;;
58362.01215278;;;;;
58362.01284722;;;;;
58362.01354167;;;;;
58362.01423611;;;;;
58362.01493056;;;;;
58362.01562500;;;;;
58362.01631944;;;;;
58362.01701389;;;;;
58362.01770833;;;;;
58362.01840278;;;;;
58362.01909722;;;;;
58362.01979167;;;;;
58362.02048611;;;;;
58362.02118056;;;;;
58362.02187500;;;;;
58362.02256944;;;;;
58362.02326389;;;;;
58362.02395833;;;;;
58362.02465278;;;;;
58362.02534722;;;;;
58362.02604167;;;;;
58362.02673611;;;;;
58362.02743056;;;;;
58362.02812500;;;;;
58362.02881944;;;;;
58362.02951389;;;;;
58362.03020833;;;;;
58362.03090278;;;;;
58362.03159722;;;;;
58362.03229167;;;;;
58362.03298611;;;;;
58362.03368056;;;;;
58362.03437500;;;;;
58362.03506944;;;;;
58362.03576389;;;;;
58362.03645833;;;;;
58362.03715278;;;;;
58362.03784722;;;;;
58362.03854167;;;;;
58362.03923611;;;;;
58362.03993056;;;;;
58362.04062500;;;;;
58362.04131944;;;;;
58362.04201389;;;;;
58362.04270833;;;;;
58362.04340278;;;;;
58362.04409722;;;;;
58362.04479167;;;;;
58362.04548611;;;;;
58362.04618056;;;;;
58362.04687500;;;;;
58362.04756944;;;;;
58362.04826389;;;;;
58362.04895833;;;;;
58362.04965278;;;;;
58362.05034722;;;;;
58362.05104167;;;;;
58362.05173611;;;;;
58362.05243056;;;;;
58362.05312500;;;;;
58362.05381944;;;;;
58362.05451389;;;;;
58362.05520833;;;;;
58362.05590278;;;;;
58362.05659722;;;;;
58362.05729167;;;;;
58362.05798611;;;;;
58362.05868056;;;;;
58362.05937500;;;;;
58362.06006944;;;;;
58362.06076389;;;;;
58362.06145833;;;;;
58362.06215278;;;;;
58362.06284722;;;;;
58362.06354167;;;;;
58362.06423611;;;;;
58362.06493056;;;;;
58362.06562500;;;;;
58362.06631944;;;;;
58362.06701389;;;;;
58362.06770833;;;;;
58362.06840278;;;;;
58362.06909722;;;;;
58362.06979167;;;;;
58362.07048611;;;;;
58362.07118056;;;;;
58362.07187500;;;;;
58362.07256944;;;;;
58362.07326389;;;;;
58362.07395833;;;;;
58362.07465278;;;;;
58362.07534722;;;;;
58362.07604167;;;;;
58362.07673611;;;;;
58362.07743056;;;;;
58362.07812500;;;;;
58362.07881944;;;;;
58362.07951389;;;;;
58362.08020833;;;;;
58362.08090278;;;;;
58362.08159722;;;;;
58362.08229167;;;;;
58362.08298611;;;;;
58362.08368056;;;;;
58362.08437500;;;;;
58362.08506944;;;;;
58362.08576389;;;;;
58362.08645833;;;;;
58362.08715278;;;;;
58362.08784722;;;;;
58362.08854167;;;;;
58362.08923611;;;;;
58362.08993056;;;;;
58362.09062500;;;;;
58362.09131944;;;;;
58362.09201389;;;;;
58362.09270833;;;;;
58362.09340278;;;;;
58362.09409722;;;;;
58362.09479167;;;;;
58362.09548611;;;;;
58362.09618056;;;;;
58362.09687500;;;;;
58362.09756944;;;;;
58362.09826389;;;;;
58362.09895833;;;;;
58362.09965278;;;;;
